/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
...
Episode  3449 | Reward:    7.60 | Avg(100):    7.56 | Epsilon: 0.0618 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69813 | Ep Time:   1.30s | Avg100 Time:   1.90s | Total Time:   42.95m
Episode  3450 | Reward:    9.00 | Avg(100):    7.67 | Epsilon: 0.0617 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69890 | Ep Time:   3.06s | Avg100 Time:   1.93s | Total Time:   43.00m
Episode  3451 | Reward:   14.70 | Avg(100):    7.80 | Epsilon: 0.0617 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69952 | Ep Time:   2.46s | Avg100 Time:   1.94s | Total Time:   43.05m
Episode  3452 | Reward:    2.50 | Avg(100):    7.69 | Epsilon: 0.0617 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69976 | Ep Time:   0.93s | Avg100 Time:   1.93s | Total Time:   43.06m
Episode  3453 | Reward:    2.90 | Avg(100):    7.69 | Epsilon: 0.0617 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70006 | Ep Time:   1.15s | Avg100 Time:   1.94s | Total Time:   43.08m
Episode  3454 | Reward:    6.10 | Avg(100):    7.51 | Epsilon: 0.0617 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70046 | Ep Time:   1.59s | Avg100 Time:   1.91s | Total Time:   43.11m
Episode  3455 | Reward:   17.20 | Avg(100):    7.55 | Epsilon: 0.0616 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70148 | Ep Time:   4.01s | Avg100 Time:   1.93s | Total Time:   43.17m
Episode  3456 | Reward:   12.00 | Avg(100):    7.65 | Epsilon: 0.0616 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70199 | Ep Time:   1.96s | Avg100 Time:   1.94s | Total Time:   43.21m
Episode  3457 | Reward:   16.30 | Avg(100):    7.79 | Epsilon: 0.0616 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70324 | Ep Time:   4.94s | Avg100 Time:   1.98s | Total Time:   43.29m
Episode  3458 | Reward:    4.90 | Avg(100):    7.69 | Epsilon: 0.0616 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70348 | Ep Time:   0.95s | Avg100 Time:   1.96s | Total Time:   43.30m
