Episode   157 | Reward:   -1.30 | Avg(100):   -1.34 | Epsilon: 0.9434 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1919
Episode   158 | Reward:   -4.90 | Avg(100):   -1.37 | Epsilon: 0.9430 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1931
Episode   159 | Reward:    0.20 | Avg(100):   -1.38 | Epsilon: 0.9426 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1946
Episode   160 | Reward:   -1.30 | Avg(100):   -1.36 | Epsilon: 0.9422 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1958
Episode   161 | Reward:   -1.30 | Avg(100):   -1.36 | Epsilon: 0.9419 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1970
Episode   162 | Reward:   -1.30 | Avg(100):   -1.36 | Epsilon: 0.9416 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1982
Episode   163 | Reward:    1.70 | Avg(100):   -1.33 | Epsilon: 0.9412 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1994
Episode   164 | Reward:    0.40 | Avg(100):   -1.34 | Epsilon: 0.9410 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2001
Episode   165 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9407 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2013
Episode   166 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9403 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2025
Episode   167 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9400 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2037
Episode   168 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9396 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2049
Episode   169 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9393 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2061
Episode   170 | Reward:    0.50 | Avg(100):   -1.26 | Epsilon: 0.9390 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2073
Episode   171 | Reward:   -1.30 | Avg(100):   -1.26 | Epsilon: 0.9386 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2085
Episode   172 | Reward:   -1.30 | Avg(100):   -1.26 | Epsilon: 0.9383 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2097
Episode   173 | Reward:   -1.30 | Avg(100):   -1.26 | Epsilon: 0.9379 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2109
Episode   174 | Reward:   -1.30 | Avg(100):   -1.26 | Epsilon: 0.9376 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2121
Episode   175 | Reward:   -1.30 | Avg(100):   -1.28 | Epsilon: 0.9372 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2133
Episode   176 | Reward:   -6.70 | Avg(100):   -1.34 | Epsilon: 0.9369 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    2145
